105學年度全國大學校院及校長名錄,,,,,,,,,,,
匯出時間:106.02.18,,,,,,,,,,,
序號,學校代碼,學校名稱,學校英文名稱,職稱,姓名,郵遞區號,地址,學校總機,學校傳真,網址,
68,1019,高雄醫學大學,Kaohsiung Medical University,校長,劉景寬,80708,高雄市三民區十全一路100號,07-312-1101,07-321-2062,http://www2.kmu.edu.tw,
69,1020,南華大學,Nanhua university,校長,林聰明,62248,嘉義縣大林鎮中坑里10鄰南華路1段55號,05-272-1001,05-242-7147,http://www.nhu.edu.tw,
70,1021,真理大學,Aletheia University,校長,林文昌,25103,新北市淡水區真理街32號,02-2621-2121#1101,02-2623-5533,http://www.au.edu.tw,
71,1022,大同大學,Tatung University,校長,何明果,10452,臺北市中山北路3段40號,02-2182-2928,02-2585-5911,http://www.ttu.edu.tw,
72,1023,南臺科技大學,Southern Taiwan University of Science and Technology,校長,戴謙,71005,臺南市永康區南臺街1號,06-253-3131,06-254-3031,http://www.stust.edu.tw,
73,1024,崑山科技大學,Kun Shan University,校長,蘇炎坤,71070,臺南市永康區崑大路195號,06-272-7175,06-272-8944,http://www.ksu.edu.tw,
74,1025,嘉藥學校財團法人嘉南藥理大學,Chia Nan University of Pharmacy &amp; Science,校長,陳銘田,71710,臺南市仁德區二仁路一段60號,06-266-4911,06-266-8920,http://www.cnu.edu.tw,
75,1026,樹德科技大學,Shu-Te University,校長,朱元祥,82445,高雄市燕巢區橫山路59號,07-615-8000,07-615-8999,http://www.stu.edu.tw/,
76,1027,慈濟學校財團法人慈濟大學,Tzu Chi University,校長,王本榮,97004,花蓮縣花蓮市中央路3段701號,03-856-5301,03-856-2500,http://www.tcu.edu.tw,
77,1028,臺北醫學大學,Taipei Medical University,校長,閻雲,11031,臺北市信義區吳興街250號,02-2736-1661#2016,02-2378-7795,http://www.tmu.edu.tw,
78,1029,中山醫學大學,CHUNG SHAN MEDICAL UNIVERSITY,校長,呂克桓,40201,臺中市南區建國北路1段110號,04-2473-0022#11012,04-2475-9950,http://www.csmu.edu.tw,
79,1030,龍華科技大學,Lunghwa University of Science and Technology,校長,葛自祥,33306,桃園市龜山區萬壽路一段300號,02-8209-3211,02-8209-1476,http://www.lhu.edu.tw/,
80,1031,輔英科技大學,Fooyin University,校長,顧志遠,83102,高雄市大寮區進學路151號,07-781-1151,07-782-8805,http://www.fy.edu.tw,
81,1032,明新科技大學,Minghsin University of Science and Technology,校長,袁保新,30401,新竹縣新豐鄉新興路1號,03-559-3142#2120,03-559-5142,http://www.must.edu.tw/,
82,1033,長榮大學,Chang Jung Christian University,校長,李泳龍,71101,臺南市歸仁區長大路1號,06-278-5123,06-278-5555,http://www.cjcu.edu.tw,
83,1034,弘光科技大學,HUNGKUANG UNIVERSITY,校長,蘇弘毅,43302,臺中市沙鹿區臺灣大道六段1018號,04-2631-8652,04-2631-0744,http://www.hk.edu.tw,
84,1035,中國醫藥大學,CHINA MEDICAL UNIVERSITY,校長,李文華,40402,臺中市北區學士路91號,04-2205-3366#1013,04-2206-0248,http://www.cmu.edu.tw,
85,1036,健行學校財團法人健行科技大學,Chien Hsin University of Science and Technology,校長,李大偉,32097,桃園市中壢區健行路229號,03-458-1196#9,無,http://www.uch.edu.tw/,
86,1037,正修學校財團法人正修科技大學,Cheng Shiu University,校長,龔瑞璋,83347,高雄市鳥松區澄清路840號,07-735-8800,07-731-5367,http://www.csu.edu.tw/,
87,1038,萬能學校財團法人萬能科技大學,Vanung University,校長,莊暢,32061,桃園市中壢區萬能路1號,03-451-5811,03-451-3786,http://www.vnu.edu.tw/,
88,1039,玄奘大學,Hsuan Chuang University,校長,劉得任,30092,新竹市香山區玄奘路48號,03-530-2255,03-539-7400,http://www.hcu.edu.tw,
89,1040,建國科技大學,Chienkuo Technology University,校長,陳繁興,50094,彰化縣彰化市介壽北路1號,04-711-1111,04-711-1171,http://www.ctu.edu.tw/,
90,1041,明志科技大學,Ming Chi University of Technology,校長,劉祖華,24301,新北市泰山區貴子里工專路84號,02-2908-9899,02-2904-1914,http://www.mcut.edu.tw,
91,1042,高苑科技大學,Kao Yuan University,校長,張學斌,82151,高雄市路竹區中山路1821號,07-607-7777,07-607-7877,http://www.kyu.edu.tw/kyunew3/index3.html,
92,1043,大仁科技大學,Tajen University,校長,王駿發,90741,屏東縣鹽埔鄉維新路20號,08-762-4002,08-762-3924,http://www.tajen.edu.tw/,
93,1044,聖約翰科技大學,St. John&acute;s University,校長,艾和昌,25135,新北市淡水區淡金路四段499號,02-2801-3131,02-2801-3021,http://www.sju.edu.tw/,
94,1045,嶺東科技大學,LING TUNG UNIVERSITY,校長,趙志揚,40852,臺中市南屯區嶺東路1號,04-2389-2088,04-2389-5293,http://www.ltu.edu.tw/,
95,1046,中國科技大學,China University of Technology,校長,谷家恆,11695,臺北市文山區興隆路三段56號,02-2931-3416,02-8931-8847,http://www.cute.edu.tw/,
96,1047,中臺科技大學,Central Taiwan University of Science and Technology,校長,李隆盛,40601,臺中市北屯區廍子里10鄰廍子路666號,04-2239-1647#2102,04-2239-5751,http://www.ctust.edu.tw/,
97,1048,亞洲大學,Asia University,校長,蔡進發,41354,臺中市霧峰區柳豐路500號,04-2332-3456,04-2331-6699,http://www.asia.edu.tw,
98,1049,開南大學,Kainan University,校長,梁榮輝,33857,桃園市蘆竹區開南路1號,03-341-2500#1712,03-341-4429,http://www.knu.edu.tw,
99,1050,佛光大學,Fo Guang University,校長,楊朝祥,26247,宜蘭縣礁溪鄉林美村林尾路160號,03-987-1000#12131,03-987-4815,http://www.fgu.edu.tw,
100,1051,台南家專學校財團法人台南應用科技大學,Tainan University of Technology,校長,林品章,71002,臺南市永康區中正路529號,06-253-2106#259,06-254-9527,http://www.tut.edu.tw/,
101,1052,遠東科技大學,Far East University,校長,王元仁,74448,臺南市新市區中華路49號,06-597-9566,06-597-7050,http://www.feu.edu.tw/web/,
102,1053,光宇學校財團法人元培醫事科技大學,Yuanpei University of Medical Technology,校長,林志城,30015,新竹市元培街306號,03-538-1183,03-538-5353,http://www.ypu.edu.tw,
103,1054,景文科技大學,Jinwen University of Science and Technology,校長,洪久賢,23154,新北市新店區安忠路99號,02-8212-2000,02-8212-2199,http://www.just.edu.tw/,
104,1055,中華醫事科技大學,Chung Hwa University of Medical Technology,校長,曾信超,71703,臺南市仁德區文華一街89號,06-267-1214#0,06-335-6723,http://www.hwai.edu.tw/,
